genre,movie_name,cast,director,TMDB_Genre,Vote_Average,Vote_Count
Romance,Silsila Sidnaaz Ka,"Mithun Chakraborty, Madhoo, Maya Alagh, Vijay Arora",K. Bapaiah,Romance,0.0,0.0
Thriller,Sheela Meri Jaan,"Mithun Chakraborty, Madhoo, Maya Alagh, Vijay Arora",K. Bapaiah,,,
"Drama, Romance",Issaq,"Prateik Patil Babbar, Amyra Dastur, Ravi Kishan, Prashant Narayanan",Manish Tiwary,Romance,4.0,4.0
"Action, Crime, Drama",8 x 10 Tasveer,"Akshay Kumar, Ayesha Takia, Jaaved Jaaferi, Girish Karnad",Nagesh Kukunoor,"Thriller, Action, Mystery",5.0,21.0
"Crime, Drama, Thriller",Andhera,"Sameer Khan, Vani Ganpati, Imtiaz Khan, Dulari","Shyam Ramsay, Tulsi Ramsay",Horror,0.0,0.0
"Comedy, Musical, Mystery",Style,"Sharman Joshi, Sahil Khan, Riya Sen, Shilpi Sharma",N. Chandra,"Comedy, Thriller",6.2,12.0
Drama,Jawani Ki Kahani,"Abhilasha, Vijay Arora, Ramesh Deo, Seema Deo",K.R. Rangan,,,
Thriller,Monster,"Amarjeet Singh, Hannah Panneriy",Keshhav Panneriy,"Crime, Drama",7.223,2243.0
"Adventure, Drama",The Warrior,"Irrfan Khan, Puru Chibber, Aino Annuddin, Manoj Mishra",Asif Kapadia,"Adventure, Drama",6.2,36.0
"Crime, Drama, Romance",Naqaab,"Bobby Deol, Akshaye Khanna, Urvashi Sharma, Vikas Kalantri","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Crime, Romance, Thriller",4.462,13.0
"Action, Crime, Drama",Sarkar 3,"Amitabh Bachchan, Yami Gautam, Manoj Bajpayee, Abhishek Bachchan",Ram Gopal Varma,Crime,5.5,15.0
"Comedy, Drama, Romance",Mere Yaar Ki Shaadi Hai,"Uday Chopra, Jimmy Shergill, Bipasha Basu, Tanaaz Currim Irani",Sanjay Gadhvi,"Comedy, Romance",5.8,14.0
 ,Pyaar Hai Toh Hai,"Karan Hariharan, Paanie Kashyap, Rohit Choudhury, Shiv Prateek","Pradeep R.K. Chaudhary, Pradeep R.K. Chaudhary","Drama, Romance",0.0,0.0
"Comedy, Romance",Nawabzaade,"Dharmesh Yelande, Punit Pathak, Raghav Juyal, Isha Rikhi",Jayesh Pradhan,"Comedy, Romance",4.6,5.0
"Comedy, Drama",Lipstick Under My Burkha,"Aahana Kumra, Ratna Pathak Shah, Konkona Sen Sharma, Plabita Borthakur",Alankrita Shrivastava,"Comedy, Drama",6.837,99.0
"Comedy, Crime, Thriller",Ghanchakkar,"Emraan Hashmi, Vidya Balan, Namit Das, Rajesh Sharma",Raj Kumar Gupta,"Comedy, Crime, Thriller",5.0,30.0
"Crime, Drama, Mystery",Vaada,"Arjun Rampal, Zayed Khan, Ameesha Patel, Alok Nath",Satish Kaushik,"Action, Comedy",5.0,1.0
Action,Khiladi 1080,"Rakul Preet Singh, Sonakshi Sinha, Huma Qureshi, Shehnaaz Gill",Kabir Sadanand,"Action, Crime, Thriller",0.0,0.0
"Action, Drama",Meri Jung,"Anil Kapoor, Girish Karnad, Nutan, Amrish Puri",Subhash Ghai,Drama,7.417,6.0
"Drama, Musical, Romance",Love,"Salman Khan, Arun Bakshi, Rita Bhaduri, Sunil Dhawan",Suresh Krishna,"Drama, Romance",6.437,2404.0
"Action, Crime, Drama",Family: Ties of Blood,"Amitabh Bachchan, Akshay Kumar, Bhoomika Chawla, Aryeman Ramsay",Rajkumar Santoshi,"Action, Crime, Drama, Thriller",5.75,10.0
"Drama, Music",London Dreams,"Salman Khan, Ajay Devgn, Om Puri, Aditya Roy Kapoor",Vipul Amrutlal Shah,Drama,5.1,15.0
"Drama, Horror, Mystery",C U at 9,"Isaiah, Malavika Nair, Kanksha, Marion Rodrigues",Marion Rodrigues,,2.0,1.0
"Action, Adventure",Balwaan,"Suniel Shetty, Divya Bharti, Danny Denzongpa, Avtar Gill",Deepak Anand,"Action, Crime",2.75,4.0
"Drama, Music, Romance",Aashiqui 3,Kartik Aaryan,Anurag Basu,"Romance, Drama",0.0,0.0
"Action, Drama",Veergati,"Salman Khan, Atul Agnihotri, Sudesh Berry, Pooja Dadwal",K.K. Singh,"Action, War, Thriller",7.0,1.0
Drama,Perversion,"Adiya, Natasha, Sneha, Tanisha",Sandeep Patra,"Thriller, Mystery, Crime, Drama",1.0,1.0
"Action, Drama, Mystery",Eklavya,"Amitabh Bachchan, Saif Ali Khan, Sanjay Dutt, Vidya Balan",Vidhu Vinod Chopra,"Action, Drama, Thriller",6.3,21.0
"Comedy, Drama",Kunwara Baap,"Mehmood, Bharathi, Aachi Manorama, Bhushan Tiwari",Mehmood,"Drama, Comedy",6.6,5.0
Action,Junglee Tarzan,"Vijay Saxena, Nisha Kamat, Joginder Shelly, Jr. Shah Rukh Khan",Kishan Shah,,,
"Comedy, Drama",Naram Garam,"Amol Palekar, Swaroop Sampat, Utpal Dutt, A.K. Hangal",Hrishikesh Mukherjee,"Drama, Comedy",6.214,7.0
Comedy,High Jack,"Sumeet Vyas, Mantra Mugdh, Sonnalli Seygall, Boloram Das",Akarsh Khurana,Comedy,7.7,3.0
"Action, Drama, Romance",Baaghi: A Rebel for Love,"Salman Khan, Nagma, Shakti Kapoor, Kiran Kumar",Deepak S. Shivdasani,"Action, Drama, Romance",5.714,7.0
"Action, Drama, Romance",Tevar,"Arjun Kapoor, Sonakshi Sinha, Manoj Bajpayee, Deepti Naval",Amit Ravindernath Sharma,"Thriller, Action, Drama",5.161,31.0
"Comedy, Musical, Romance",Tuesdays and Fridays,"Anmol Dhillon, Jhataleka Malhotra, Niki Walia, Zoa Morani",Taranveer Singh,"Romance, Comedy, Music",5.0,4.0
"Action, Drama",Maa Tujhhe Salaam,"Sunny Deol, Tabu, Arbaaz Khan, Tinnu Verma",Tinnu Verma,"Action, Drama",2.75,4.0
"Comedy, Crime, Drama",Bombairiya,"Radhika Apte, Akshay Oberoi, Siddhant Kapoor, Ravi Kishan",Pia Sukanya,"Comedy, Crime, Drama",7.2,8.0
Drama,Chitrakut,"Auritra Ghosh, Vibhore Mayank, Naina Trivedi, Shruti Bapna",Himanshu Malik,Drama,0.0,0.0
"Drama, Romance",Ajanabee,"Rajesh Khanna, Zeenat Aman, Prem Chopra, Govardhan Asrani",Shakti Samanta,"Drama, Romance",6.833,3.0
Drama,Page 3,"Konkona Sen Sharma, Atul Kulkarni, Sandhya Mridul, Tara Sharma","Madhur Bhandarkar, Jay Dev Banerjee",Drama,6.2,31.0
"Action, Drama",Geraftaar,"Kamal Haasan, Poonam Dhillon, Amitabh Bachchan, Madhavi",Prayag Raj,"Action, Drama",6.333,6.0
"Comedy, Crime, Mystery",Masti,"Ajay Devgn, Vivek Oberoi, Aftab Shivdasani, Riteish Deshmukh",Indra Kumar,,0.0,0.0
"Comedy, Romance",Love Per Square Foot,"Vicky Kaushal, Angira Dhar, Alankrita Sahai, Raghubir Yadav",Anand Tiwari,"Comedy, Romance",6.7,109.0
"Crime, Drama, Thriller",Aankhen,"Amitabh Bachchan, Akshay Kumar, Sushmita Sen, Arjun Rampal",Vipul Amrutlal Shah,"Crime, Thriller",6.403,62.0
"Action, Adventure, Comedy",Daud: Fun on the Run,"Sanjay Dutt, Urmila Matondkar, Paresh Rawal, Neeraj Vora",Ram Gopal Varma,,,
 ,The Ladykiller,"Bhumi Pednekar, Arjun Kapoor, Backagaindancer, Mrityunjay Pandey",Ajay Bahl,"Thriller, Crime",0.0,0.0
"Drama, Mystery, Thriller",Bypass Road,"Neil Nitin Mukesh, Adah Sharma, Gul Panag, Taher Shabbir",Naman Nitin Mukesh,"Drama, Thriller",5.3,7.0
"Horror, Thriller",Durgamati: The Myth,"Bhumi Pednekar, Mahie Gill, Arshad Warsi, Jisshu Sengupta",Ashok G.,"Horror, Thriller",5.889,10.0
"Drama, Musical",Abhimaan,"Amitabh Bachchan, Jaya Bachchan, Govardhan Asrani, Bindu Desai",Hrishikesh Mukherjee,"Drama, Romance",7.088,17.0
"Crime, Mystery, Thriller",Penthouse,"Manjari Fadnnis, Mouni Roy, Bobby Deol, Arjun Rampal","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Crime, Mystery",6.7,18.0
Action,Dus,"Rahul Dev, Sanjay Dutt, Salman Khan, Vinod Khanna",Mukul Anand,"Action, Crime, Thriller",5.257,37.0
"Action, Drama, Family",Thokar,"Baldev Khosa, Alka, Poonam Vaidya, Mehmood Jr.",Dilip Bose,"Action, Drama, Family",0.0,0.0
"Drama, Romance",Tum Bin...: Love Will Find a Way,"Priyanshu Chatterjee, Himanshu Malik, Sandali Sinha, Raqesh Bapat",Anubhav Sinha,,,
"Drama, History",Gandhi Godse Ek Yudh,"Deepak Antani, Chinmay Mandlekar, Tanisha Santoshi, Anuj Saini",Rajkumar Santoshi,"Drama, History",4.5,2.0
"Action, Adventure, Crime",Shivaay,"Ajay Devgn, Abigail Eames, Erika Kaar, Sayyeshaa Saigal",Ajay Devgn,"Adventure, Action, Drama, Thriller",5.78,59.0
"Action, Adventure, Comedy",Ajooba,"Amitabh Bachchan, Dimple Kapadia, Rishi Kapoor, Sonam","Shashi Kapoor, Gennadiy Vasilev","Action, Adventure, Fantasy",5.467,15.0
"Action, Drama",Naajayaz,"Naseeruddin Shah, Ajay Devgn, Juhi Chawla, Deepak Tijori",Mahesh Bhatt,"Action, Drama",5.667,5.0
"Crime, Drama, Thriller",Oru Kaidhiyin Diary,"Kamal Haasan, Revathi, Radha, Janakaraj",Bharathiraja,"Action, Crime, Thriller",7.2,5.0
Horror,Junglemahal: The Awakening,"Masoomeh Ab, Aditya Baliyan, Farhad Khairy, Suraiya Parvin",Arunava Chowdhury,Horror,6.5,2.0
Drama,Apno Se Bewafai,"Sonam Arora, Soni Bhoir, Mahima Chaudhry, Irrfan Khan",Prakash Bhalekar,,,
"Action, Comedy, Drama",Desh Premee,"Amitabh Bachchan, Hema Malini, Navin Nischol, Parveen Babi",Manmohan Desai,"Action, Drama",4.333,6.0
"Action, Crime, Drama",Gang,"Jackie Shroff, Nana Patekar, Kumar Gaurav, Jaaved Jaaferi",Mazhar Khan,"Drama, Action, Crime",5.0,2.0
Romance,Tapa Tap,"Jackie Shroff, Nana Patekar, Kumar Gaurav, Jaaved Jaaferi",Mazhar Khan,Comedy,6.3,9.0
"Comedy, Musical, Romance",Chalti Ka Naam Gaadi,"Ashok Kumar, Madhubala, Anoop Kumar, Kishore Kumar",Satyen Bose,Comedy,5.45,10.0
"Action, Crime, Drama",Tezz,"Anil Kapoor, Ajay Devgn, Mohanlal, Kangana Ranaut",Priyadarshan,"Drama, Action, Thriller",4.1,25.0
Horror,Pyasa Darinda,"Anil Kapoor, Ajay Devgn, Mohanlal, Kangana Ranaut",Priyadarshan,,,
"Biography, Drama, Sport",Budhia Singh: Born to Run,"Manoj Bajpayee, Mayur Mahendra Patole, Gajraj Rao, Tillotama Shome",Soumendra Padhi,Drama,6.0,13.0
Drama,Kaash,"Jackie Shroff, Dimple Kapadia, Master Makrand, Anupam Kher",Mahesh Bhatt,Drama,10.0,1.0
"Action, Crime, Drama",I - Proud to Be an Indian,"Sohail Khan, Tim Lawrence, Mona Ambegaonkar, Scott Hinds",Puneet Sira,"Action, Crime, Drama",4.7,2.0
"Action, Romance, Thriller",Criminal,"Nagarjuna Akkineni, Manisha Koirala, Ramya Krishnan, Laxmikant Berde",Mahesh Bhatt,"Action, Crime, Science Fiction",6.197,1678.0
"Action, Crime, Drama",Force,"John Abraham, Genelia Deshmukh, Vidyut Jammwal, Raj Babbar",Nishikant Kamat,"Action, Crime, Drama, Thriller",6.476,41.0
"Comedy, Drama, Romance",Judaai,"Anil Kapoor, Sridevi, Urmila Matondkar, Paresh Rawal",Raj Kanwar,"Drama, Romance",5.0,2.0
Comedy,Tom Dick and Harry Returns,"Jimmy Shergill, Pooja Chopra, Sanjay Dutt, Nazia Hussain",Deepak Tijori,,,
Drama,Padikkathavan,"Rajinikanth, Ambika, Vijay Babu, Shivaji Ganesan",Rajasekar,"Action, Drama",4.0,13.0
"Drama, Musical, Romance",Souten,"Rajesh Khanna, Tina Ambani, Padmini Kolhapure, Prem Chopra",Saawan Kumar Tak,"Drama, Romance",4.667,3.0
"Action, Comedy, Musical",Caravan,"Asha Parekh, Jeetendra, Aruna Irani, Mehmood Jr.",Nasir Hussain,Documentary,0.0,0.0
"Action, Crime, Drama",Ek Ajnabee,"Amitabh Bachchan, Arjun Rampal, Perizaad Zorabian, Rucha Vaidya",Apoorva Lakhia,"Action, Thriller",4.9,15.0
"Drama, Thriller",Apurva,"Tara Sutaria, Abhishek Banerjee, Rajpal Naurang Yadav, Dhairya Karwa",Nikhil Nagesh Bhat,"Crime, Thriller",5.3,6.0
"Action, Adventure, Biography",Poorna,"Aditi Inamdar, Rahul Bose, Heeba Shah, Arif Zakaria","Rahul Bose, Prashant Pandey","Action, Drama",6.3,11.0
Crime,Am I Next,"Anushka Sen, Neelu Dogra, Tariq Khan, Ahmer Haider",Rahhat Shah Kazmi,Crime,5.0,4.0
"Action, Comedy, Crime",Bhuddah Hoga Tera Baap,"Amitabh Bachchan, Hema Malini, Sonu Sood, Sonal Chauhan",Puri Jagannadh,,,
"Crime, Drama, Thriller",Red Swastik,"Sherlyn Chopra, Harsh Chhaya, Deepshikha Nagpal, Deepraj Rana",Vinod Pande,"Crime, Drama, Thriller",2.6,5.0
"Comedy, Drama",Firangi,"Kapil Sharma, Ishita Dutta, Monica Gill, Edward Sonnenblick","Rajiv Dhingra, Rizwan Mohammad","Drama, Comedy",4.0,6.0
"Adventure, Crime, Drama",The Deceivers,"Pierce Brosnan, Saeed Jaffrey, Shashi Kapoor, Helena Michell",Nicholas Meyer,Adventure,5.7,25.0
Thriller,Kaashi in Search of Ganga,"Prince Adhikari, Aishwarya Devan, Sukriti Gupta, Kranti Prakash Jha",Dhiraj Kumar,"Thriller, Drama",4.2,4.0
"Action, Crime, Drama",Risk,"Vinod Khanna, Randeep Hooda, Tanushree Dutta, Madhuri Bhagwat",Vishram Sawant,Documentary,6.7,67.0
"Thriller, Musical, Mystery",Bees Saal Baad,"Biswajeet Chatterjee, Waheeda Rehman, Manmohan Krishna, Madan Puri",Biren Nag,Horror,5.0,2.0
Horror,Raat,"Revathi, Rohini Hattangadi, Om Puri, Akash Khurana",Ram Gopal Varma,"Crime, Mystery, Thriller",6.8,66.0
"Action, Comedy, Crime",R... Rajkumar,"Shahid Kapoor, Sonakshi Sinha, Sonu Sood, Ashish Vidyarthi",Prabhu Deva,"Action, Romance",6.176,91.0
"Comedy, Drama, Family",Sulaikha Manzil,"Noushad Ali, Lukman Avaran, Shebin Benson, Jolly Chirayath",Ashraf Hamza,"Drama, Romance, Comedy",5.5,4.0
Comedy,Angoor,"Sanjeev Kumar, Moushumi Chatterjee, Deven Verma, Aruna Irani",Gulzar,,0.0,0.0
"Action, Adventure, Drama",Sherni,"Vidya Balan, Vijay Raaz, Neeraj Kabi, Mukesh Khanna",Amit Masurkar,,0.0,0.0
"Horror, Mystery",1920 London,"Sharman Joshi, Meera Chopra, Vishal Karwal, Surendra Pal",Tinu Suresh Desai,Horror,4.19,42.0
"Action, Comedy, Drama",Himmatwala,"Ajay Devgn, Tamannaah Bhatia, Mahesh Manjrekar, Paresh Rawal",Sajid Khan,"Action, Comedy, Drama",4.25,4.0
"Comedy, Drama, Musical",Chori Chori Chupke Chupke,"Salman Khan, Rani Mukerji, Preity G Zinta, Amrish Puri","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Drama, Romance",6.209,67.0
"Action, Crime, Drama",International Khiladi,"Akshay Kumar, Twinkle Khanna, Rajat Bedi, Vivek Shauq",Umesh Mehra,"Action, Thriller, Crime, Romance",5.071,14.0
Thriller,Play Girls,"Akshay Kumar, Twinkle Khanna, Rajat Bedi, Vivek Shauq",Umesh Mehra,Comedy,5.6,126.0
Comedy,100%,"Shehnaaz Gill, Nora Fatehi, Riteish Deshmukh, Sahil Chaudhary",Sajid Khan,"Comedy, Drama",7.332,276.0
"Action, Crime, Drama",Sehar,"Arshad Warsi, Pankaj Kapur, Mahima Chaudhry, Sushant Singh",Kabeer Kaushik,"Action, Thriller",7.0,8.0
Crime,Bade Achhe Lagte Hai,"Rohan Shah, Azhar Sheikh, Suman Singh, Boishali Sinha",Sunil Subramani,,,
"Crime, Drama, Musical",Kala Bazar,"Dev Anand, Waheeda Rehman, Nanda Karnataki, Vijay Anand",Vijay Anand,"Romance, Action, Crime, Drama, Music",5.7,7.0
"Action, Comedy, Crime",Touch Chesi Chudu,"Ravi Teja, Raashi Khanna, Seerat Kapoor, Murli Sharma",Vikram Sirikonda,Action,5.6,9.0
"Romance, Drama",Aap Ki Kasam,"Rajesh Khanna, Mumtaz Askari, Sanjeev Kumar, Rehman Khan",J. Om Prakash,"Romance, Drama",7.25,8.0
"Comedy, Drama, Romance",Bewakoofiyaan,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor, Swedha Singh",Nupur Asthana,"Romance, Comedy, Drama",5.618,38.0
"Drama, Romance",Khamoshi,"Rajesh Khanna, Waheeda Rehman, Nasir Hussain, Snehlata",Asit Sen,"Drama, Horror",4.588,17.0
"Drama, Romance",Sanam Bewafa,"Salman Khan, Chandni, Kanchan, Pran Sikand",Saawan Kumar Tak,"Drama, Family",5.0,9.0
"Comedy, Drama, Fantasy",Rocket Gang,"Aditya Seal, Nikita Dutta, Jason Tham, Mokshada Jaikhani",Bosco Martis,"Comedy, Fantasy, Horror, Music",4.5,2.0
Drama,Andaman,"Vishal Agiran, Arav Aryavanshi, Arav Aryavanshi, Dinesh Awasthi",Smita Singh,Drama,0.0,0.0
"Action, Drama, Romance",Samadhi,"Asha Parekh, Dharmendra, Jaya Bachchan, Tun Tun",Prakash Mehra,,0.0,0.0
"Drama, Romance",Kareeb,"Bobby Deol, Shabana Raza, Abhay Chopra, Moushumi Chatterjee",Vidhu Vinod Chopra,"Drama, Romance",5.889,9.0
"Crime, Drama, Mystery",Kuldip Patwal: I Didn't Do It!,"Deepak Dobriyal, Gulshan Devaiah, Raima Sen, Parvin Dabas",Remy Kohli,"Crime, Drama, Mystery",4.7,3.0
"Drama, Romance",Dil Ne Jise Apna Kaha,"Salman Khan, Preity G Zinta, Bhoomika Chawla, Rati Agnihotri",Atul Agnihotri,"Romance, Drama",5.3,12.0
Drama,Pokhar Ke Dunu Paar,"Abhinav Jha, Tanaya Khan Jha, Dheeraj Kumar, Sheelnidhi",Parth Saurabh,Drama,0.0,0.0
Drama,Wonder Women,"Nadia Moidu, Nithya Menen, Parvathy Thiruvothu, Padmapriya",Anjali Menon,"Action, Horror, Science Fiction, Thriller",4.671,35.0
Comedy,"Gallit Gondhal, Dillit Mujra","Makarand Anaspure, Suzanne Bernert, Nagesh Bhonsle, Ramchandra Dhumal",Nagesh Bhonsle,Comedy,7.0,1.0
"Comedy, Romance",Gol Maal,"Amol Palekar, Bindiya Goswami, Deven Verma, Shobha Khote",Hrishikesh Mukherjee,Comedy,7.36,68.0
"Drama, Romance",Kabhie Kabhie,"Amitabh Bachchan, Shashi Kapoor, Rakhee Gulzar, Waheeda Rehman",Yash Chopra,"Comedy, Drama",7.7,526.0
Thriller,Mystery of the Tattoo,"Rohit Raaj, Arjun Rampal, Daisy Shah, Manoj Joshi",Kalaiarasi Sathappan,,,
"Action, Adventure, Drama",Dhoomam,"Fahadh Faasil, Roshan Mathew, Aparna Balamurali, Achyuth Kumar",Pawan Kumar,"Thriller, Drama",3.7,5.0
"Action, Adventure, Drama",Karma,"Dilip Kumar, Nutan, Naseeruddin Shah, Jackie Shroff",Subhash Ghai,Horror,6.1,27.0
"Drama, Musical, Romance",Satyam Shivam Sundaram: Love Sublime,"Shashi Kapoor, Zeenat Aman, Kanhaiyalal Chaturvedi, A.K. Hangal",Raj Kapoor,"Drama, Romance",7.0,10.0
"Drama, Musical, Romance",Chandni,"Sridevi, Rishi Kapoor, Vinod Khanna, Waheeda Rehman",Yash Chopra,"Action, Adventure, Comedy",4.711,64.0
Drama,Colour Photo,"Suhas, Chandini Chowdary, Sunil, Harsha Chemudu",Sandeep Raj,"Drama, Romance",7.467,16.0
Drama,Bhouri,"Raghubir Yadav, Masha Pour, Kunika Sadanand, Vicky Ahuja","Jasbir Bhaati, Jasbir R Bhati",Drama,7.4,5.0
"Action, Comedy, Drama",Yamla Pagla Deewana Phir Se...,"Dharmendra, Sunny Deol, Bobby Deol, Kriti Kharbanda",Navaniat Singh,"Comedy, Drama",3.889,9.0
"Comedy, Drama, Romance",Katti Batti,"Imran Khan, Kangana Ranaut, Abhishek Saha, Suhaas Ahuja",Nikkhil Advani,"Comedy, Romance, Drama",5.4,16.0
"Drama, Sport",Chidiakhana,"Ritvik Sahore, Avneet Kaur, Rajeshwari Sachdev, Prashant Narayanan",Manish Tiwary,Drama,10.0,1.0
Biography,Hari Singh Nalwa - Champion of the Khalsa Ji,"Ritvik Sahore, Avneet Kaur, Rajeshwari Sachdev, Prashant Narayanan",Manish Tiwary,,,
"Comedy, Drama, Fantasy",I See You,"Arjun Rampal, Vipasha Agarwal, Chunky Pandey, Boman Irani",Vivek b Agrawal,"Horror, Thriller",7.017,1403.0
"Drama, Thriller",Mirch Masala,"Smita Patil, Naseeruddin Shah, Om Puri, Ratna Pathak Shah",Ketan Mehta,"Drama, Thriller",7.9,16.0
"Drama, Romance",Khilona,"Aditya Pancholi, Shakti Kapoor, Mohan Joshi, Monica Bedi",Deepak Pawar,"Drama, Romance",0.0,0.0
Comedy,Gharwali Baharwali,"Anil Kapoor, Raveena Tandon, Rambha, Satish Kaushik",David Dhawan,"Comedy, Romance",5.333,6.0
Comedy,Saat Uchakkey,"Manoj Bajpayee, Vijay Raaz, Aditi Sharma, Annu Kapoor",Sanjeev Sharma,Comedy,5.2,4.0
"Mystery, Romance, Musical",Anamika,"Sanjeev Kumar, Jaya Bachchan, Iftekhar, Govardhan Asrani",Raghunath Jhalani,"Drama, Mystery, Romance",6.5,4.0
"Action, Sci-Fi, Thriller",Weapon,"Vasanth Ravi, Shiyas Kareem, Sathyaraj, Tanya Hope",Guhan Senniappan,Documentary,0.0,0.0
"Action, Thriller",Collar Bomb,"Jimmy Shergill, Sparsh Srivastav, Rajshri Deshpande, Asha Negi",Dnyanesh Zoting,"Crime, Thriller",4.0,2.0
"Action, Musical, War",Haqeeqat,"Balraj Sahni, Dharmendra, Vijay Anand, Indrani Mukherjee",Chetan Anand,"Crime, Drama",0.0,0.0
"Drama, Romance",Rajnigandha,"Vidya Sinha, Amol Palekar, Dinesh Thakur, Rajeeta Kochhar",Basu Chatterjee,"Drama, Romance",5.182,11.0
Drama,Party,"Deepa Sahi, Ila Arun, Raju Barot, Mohan Bhandari",Govind Nihalani,,6.5,6.0
"Comedy, Romance",Ek Ladka Ek Ladki,"Salman Khan, Neelam Kothari, Anupam Kher, Govardhan Asrani",Vijay Sadanah,"Comedy, Romance, Drama",6.7,5.0
"Drama, History",Parzania,"Naseeruddin Shah, Corin Nemec, Sarika Thakur, Parzaan Dastur",Rahul Dholakia,"Drama, History",6.2,5.0
"Mystery, Thriller",Vodka Diaries,"Kay Kay Menon, Raima Sen, Mandira Bedi, Sharib Hashmi",Kushal Srivastava,"Mystery, Thriller",6.2,12.0
"Drama, Family",Phool Khile Hain Gulshan Gulshan,"Rishi Kapoor, Moushumi Chatterjee, Ashok Kumar, Amjad Khan",Sikandar Khanna,Romance,4.0,1.0
"Action, Comedy, Romance",Meri Biwi Ka Jawab Nahin,"Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde","Pankaj Parashar, S.M. Iqbal","Action, Comedy, Romance",4.0,2.0
"Crime, Drama",Undertrial,"Rajpal Naurang Yadav, Kader Khan, Prem Chopra, Pratima Kazmi",Aziz Khan,Drama,8.2,5.0
"Drama, Musical, Romance",Agni Sakshi,"Jackie Shroff, Nana Patekar, Manisha Koirala, Divya Dutta",Partho Ghosh,"Drama, Thriller",6.75,8.0
"Action, Drama",Suryaa: An Awakening,"Raaj Kumar, Vinod Khanna, Raj Babbar, Bhanupriya",Esmayeel Shroff,"Action, Romance",9.25,2.0
"Comedy, Drama, Musical",...Aur Pyaar Ho Gaya,"Bobby Deol, Aishwarya Rai Bachchan, Shammi Kapoor, Anupam Kher",Rahul Rawail,"Family, Romance, Drama",5.818,11.0
"Crime, Mystery",Fever,"Rajeev Khandelwal, Gauahar Khan, Gemma Atkinson, Ankita Makwana",Rajeev Jhaveri,"Crime, Thriller",4.4,5.0
"Action, Biography, Crime",Rakhta Charitra,"Vivek Oberoi, Shatrughan Sinha, Sudeep, Abhimanyu Singh",Ram Gopal Varma,"Action, Crime, Drama",6.2,20.0
"Action, Drama, History",Raag Desh,"Kunal Kapoor, Amit Sadh, Mohit Marwah, Kenneth Desai",Tigmanshu Dhulia,"History, Action, Drama",7.7,5.0
"Action, Drama, Romance",Pudhiya Geethai,"Joseph Vijay, Meera Jasmine, Ameesha Patel, Kalabhavan Mani",Jagan,"Drama, Romance",4.8,5.0
"Drama, Romance",Akaash Vani,"Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh, Gautam Mehra",Luv Ranjan,"Romance, Drama",5.591,12.0
"Action, Drama",Kundan,"Dharmendra, Jaya Prada, Amrish Puri, Farha Naaz",K.C. Bokadia,,8.333,3.0
"Action, Crime, Drama",Apradhi,"Vikas Anand, Aparajita, Arun Bakshi, Rajni Bala",K. Ravi Shankar,"Action, Crime, Drama",6.0,2.0
Comedy,House Arrest,"Ali Fazal, Shriya Pilgaonkar, Jim Sarbh, Barkha Singh","Samit Basu, Shashanka Ghosh","Comedy, Family",5.244,123.0
Drama,Garm Hava,"Balraj Sahni, A.K. Hangal, Geeta Kak, Jamal Hashmi",M.S. Sathyu,Drama,6.6,8.0
"Action, Adventure, Drama",Saat Hindustani,"Utpal Dutt, Jalal Agha, Anwar Ali, Madhu",Khwaja Ahmad Abbas,,5.5,2.0
"Drama, Music",ABCD (Any Body Can Dance),"Prabhu Deva, Ganesh Acharya, Kay Kay Menon, Lauren Gottlieb",Remo D'Souza,Drama,5.843,51.0
"Drama, Family",Nil Battey Sannata,"Swara Bhasker, Riya Shukla, Ratna Pathak Shah, Pankaj Tripathi",Ashwiny Iyer Tiwari,"Drama, Family",7.2,39.0
Drama,Badmaash Babes,"Bhumika Gurung, Pratibha Phogat, Chandni Srivastava",Ajay V.,,,
"Crime, Thriller",376 D,"Vivek Kumar, Deeksha Joshi, Sumit Singh Sikarwar, Priyanka Sharma","Gunveen Kaur, Robin Sikarwar","Crime, Thriller",4.2,2.0
"Action, Comedy, Drama",Shola Aur Shabnam,"Govinda, Divya Bharti, Gulshan Grover, Alok Nath",David Dhawan,"Action, Romance",6.857,7.0
"Drama, Horror, Mystery",Naina,"Urmila Matondkar, Anuj Sawhney, Malavika Nair, Amardeep Jha",Shripal Morakhia,"Horror, Mystery",3.5,10.0
"Drama, Family, Romance",Noorie,"Farooq Shaikh, Poonam Dhillon, Madan Puri, Iftekhar",Manmohan Krishna,Romance,6.5,4.0
"Action, Crime, Drama",Satya 2,"Puneet Singh Ratn, Sharwanand, Anaika Soti, Mahesh Thakur",Ram Gopal Varma,"Crime, Drama",5.9,6.0
"Comedy, Music, Romance",Marigold,"Salman Khan, Ali Larter, Nandana Sen, Ian Bohen",Willard Carroll,"Comedy, Romance",5.8,11.0
"Action, Drama, Romance",Teraa Surroor,"Himesh Reshammiya, Farah Karimaee, Naseeruddin Shah, Shekhar Kapur",Shawn Arranha,"Romance, Action, Drama",6.2,2.0
 ,Be Happy,"Abhishek Bachchan, Nora Fatehi",Remo D'Souza,"Drama, Music",0.0,0.0
