Title,Vote_Average,Vote_Count,Weighted_Average
jogi,0.0,0.0,5.212648435689456
tadka,6.75,4.0,5.3590628703856975
paheli,6.256,89.0,5.943816067371649
duplicate,5.0,2.0,5.2020160139049825
radhe shyam,5.1,24.0,5.169042589616118
english vinglish,7.197,249.0,6.934263555944946
koi jaane na,6.7,3.0,5.321479037956081
72 hoorain,4.5,3.0,5.160503428199983
rustom,0.0,0.0,5.212648435689456
chup chup ke,6.2,85.0,5.894964557367475
hate story,5.3,39.0,5.256891435794795
tees maar khan,3.802,86.0,4.234295488356446
mard ko dard nahin hota,6.6,60.0,6.062047352614279
hum dil de chuke sanam,6.344,107.0,6.047507865904823
sadak 2,4.667,6.0,5.138241830822712
black,7.8,195.0,7.378028500241199
13b: fear has a new address,6.2,64.0,5.832163142707836
fanaa,6.744,199.0,6.498466837789871
yaariyan 2,5.8,5.0,5.280945129213937
war 2,0.0,0.0,5.212648435689456
yuva,0.0,0.0,5.212648435689456
sangharsh,4.8,20.0,5.0703558716586095
wanted,6.5,6827.0,6.492874091850866
motichoor chaknachoor,6.1,19.0,5.508432290459637
paan singh tomar,7.312,117.0,6.7973202616528985
sharmaji namkeen,6.8,18.0,5.722868581360702
music school,0.0,0.0,5.212648435689456
satyameva jayate 2,5.475,20.0,5.303114492348264
laal kaptaan,7.0,21.0,5.848824416206768
manto,7.4,44.0,6.386349275075602
khakee,6.331,71.0,5.941115968405498
yeh saali aashiqui,8.786,7.0,5.7685031234710955
lakshya,6.589,96.0,6.198691347434324
badhaai ho,7.204,135.0,6.766593298012713
trishna,5.9,48.0,5.596286518095342
guilty,6.652,56.0,6.07013447400212
thank god,6.393,28.0,5.7134036447908985
ghayal,6.882,17.0,5.728629828294533
baaghi,6.4,123.0,6.119755531404965
bombay velvet,5.5,40.0,5.360008212258966
once upon a time in mumbai dobaara!,5.183,41.0,5.197261272863282
shaadi mein zaroor aana,6.943,70.0,6.334172597742587
lage raho munna bhai,7.241,195.0,6.910195882215447
luka chuppi,6.028,72.0,5.746333095965448
shor in the city,6.146,23.0,5.564567877970481
tanhaji: the unsung warrior,6.412,68.0,5.982043778832069
neymar,5.5,4.0,5.240015251338079
ak vs ak,6.9,47.0,6.145654594778815
sarbjit,7.661,31.0,6.312632471828976
connect,5.5,2.0,5.227016013904983
welcome home,5.3,320.0,5.290728046246367
padman,6.5,3.0,5.306844891614618
laththi,7.2,3.0,5.358064403809739
raman raghav 2.0,7.1,114.0,6.628162108922364
dhobi ghat,6.532,79.0,6.10349265432649
ardh satya,6.893,14.0,5.66505077992691
jersey,0.0,0.0,5.212648435689456
bala,10.0,1.0,5.335401039902546
guru,1.0,1.0,5.104631809133315
stolen,5.416,988.0,5.4084684605810915
deewane huye paagal,4.782,39.0,4.994527799431159
nail polish,6.5,13.0,5.540796873650968
jaadugar,6.396,24.0,5.670720008970957
jism 2,4.4,22.0,4.914677342603322
three of us,7.517,479.0,7.347627931443325
bhootnath,0.0,0.0,5.212648435689456
ascharyachakit!,4.8,10.0,5.126680011587486
chillar party,6.913,52.0,6.1950737839577705
chakda xpress,0.0,0.0,5.212648435689456
i hate luv storys,5.897,74.0,5.664809290680352
wazir,6.638,120.0,6.295193927570882
singh is kinng,5.619,88.0,5.496449528223804
holiday,7.302,243.0,7.019454236854802
#home,6.077,26.0,5.563791258690614
attack,6.699,194.0,6.455545864466377
janhit mein jaari,6.1,10.0,5.39751334492082
khiladiyon ka khiladi,5.429,14.0,5.270896933773064
vinaya vidheya rama,4.024,22.0,4.776810675936655
hate story iv,5.643,14.0,5.328512318388448
rocky handsome,6.423,65.0,5.9764625296718386
dhamaal,6.7,104.0,6.301976341945066
pyaar ka punchnama 2,6.684,68.0,6.156534344869804
untitled blumhouse productions film,0.0,0.0,5.212648435689456
chachi 420,7.016,61.0,6.32380445006262
chalte chalte,6.296,93.0,5.981745347757247
sanam teri kasam,7.941,111.0,7.24517879567919
bunty aur babli,6.3,71.0,5.920923307855039
agent vinod,5.55,60.0,5.4191902097571365
airlift,7.099,187.0,6.780416180249776
judwaa 2,5.426,101.0,5.367673673066183
untitled aamir khan/rajkumar hirani movie,0.0,0.0,5.212648435689456
paanch,6.6,14.0,5.586166164542295
rowdy rathore,5.872,90.0,5.6762550043453075
sanak,6.1,20.0,5.518631733727575
visfot,10.0,1.0,5.335401039902546
skater girl,7.2,146.0,6.789568698674997
raincoat,7.3,33.0,6.182825923326751
murder,5.9,126.0,5.7407356131475575
mujhse dosti karoge!,6.315,73.0,5.937618383389183
veerappan,5.9,5.0,5.2925730361906815
madly,4.8,9.0,5.1336306501319005
one friday night,4.3,3.0,5.14586928185852
khuda haafiz,6.803,38.0,6.007824217844728
mohenjo daro,6.237,78.0,5.90143655651896
atrangi re,6.644,44.0,5.980690738490236
aakrosh,7.0,23.0,5.886567877970481
agneepath,6.4,139.0,6.145088364724289
yes boss,6.147,78.0,5.84091931513965
chhapaak,7.414,29.0,6.165472247107452
anjaana anjaani,6.032,77.0,5.76125774396695
no one killed jessica,6.831,74.0,6.281916433537495
gurgaon,4.9,18.0,5.112154295646417
lift,6.529,1078.0,6.4841779933299275
d-day,6.625,8.0,5.458274794699985
khuda haafiz chapter ii: agni pariksha,0.0,0.0,5.212648435689456
ui,0.0,0.0,5.212648435689456
mr. india,6.764,91.0,6.3070127174899175
the body,5.442,191.0,5.4039416618174645
