Title,Cast and crew,Genre,Vote_Average,Vote_Count,Combined_Features
raja natwarlal,"emraan hashmi, humaima malik, paresh rawal, kay kay menon","thriller, drama, mystery, crime",6.3,24.0,"emraan hashmi, humaima malik, paresh rawal, kay kay menon thriller, drama, mystery, crime"
chhorii,"nushrratt bharuccha, mita vashisht, gracy goswami, rajesh jais","horror, thriller",5.875,16.0,"nushrratt bharuccha, mita vashisht, gracy goswami, rajesh jais horror, thriller"
andhaa kaanoon,"rajinikanth, hema malini, reena roy, amitabh bachchan",action,7.333,9.0,"rajinikanth, hema malini, reena roy, amitabh bachchan action"
the song of scorpions,"golshifteh farahani, irrfan khan, waheeda rehman, shashank arora",drama,8.2,5.0,"golshifteh farahani, irrfan khan, waheeda rehman, shashank arora drama"
ram jaane,"shah rukh khan, juhi chawla, vivek mushran, pankaj kapur","action, crime",5.2,32.0,"shah rukh khan, juhi chawla, vivek mushran, pankaj kapur action, crime"
machine,"kiara advani, rishabh arora, mustafa burmawala, shabbir burmawala",documentary,6.5,2.0,"kiara advani, rishabh arora, mustafa burmawala, shabbir burmawala documentary"
acting ka bhoot,"aham sharma, rajni katiyar, saanand verma, ishtiyak khan",,,,"aham sharma, rajni katiyar, saanand verma, ishtiyak khan "
hamara dil aapke paas hai,"anil kapoor, aishwarya rai bachchan, sonali bendre, puru rajkumar","drama, romance",5.708,12.0,"anil kapoor, aishwarya rai bachchan, sonali bendre, puru rajkumar drama, romance"
pyaar ishq aur mohabbat,"arjun rampal, kirti reddy, suniel shetty, aftab shivdasani","romance, drama",4.9,7.0,"arjun rampal, kirti reddy, suniel shetty, aftab shivdasani romance, drama"
pantham,"gopichand, mehreen pirzada, ajay, joy badlani","drama, action",5.5,2.0,"gopichand, mehreen pirzada, ajay, joy badlani drama, action"
kyaa kool hai hum,"tusshar kapoor, riteish deshmukh, isha koppikar, neha dhupia",comedy,4.817,30.0,"tusshar kapoor, riteish deshmukh, isha koppikar, neha dhupia comedy"
hamid,"talha arshad reshi, vikas kumar, rasika dugal, sumit kaul",drama,7.0,12.0,"talha arshad reshi, vikas kumar, rasika dugal, sumit kaul drama"
apna sapna money money,"riteish deshmukh, shreyas talpade, riya sen, koena mitra",comedy,5.206,17.0,"riteish deshmukh, shreyas talpade, riya sen, koena mitra comedy"
daag: the fire,"sanjay dutt, chandrachur singh, mahima chaudhry, shakti kapoor","thriller, action, drama",5.5,6.0,"sanjay dutt, chandrachur singh, mahima chaudhry, shakti kapoor thriller, action, drama"
the killer,"irrfan khan, emraan hashmi, priyanka kothari, bharti achrekar","crime, thriller",6.584,1922.0,"irrfan khan, emraan hashmi, priyanka kothari, bharti achrekar crime, thriller"
mission lion,"tiger shroff, sara ali khan, hiten patel, atul sharma",action,2.8,4.0,"tiger shroff, sara ali khan, hiten patel, atul sharma action"
siren,"praveer shetty, lasya ponnu ash, achyuth kumar, pavitra lokesh","horror, thriller",5.961,258.0,"praveer shetty, lasya ponnu ash, achyuth kumar, pavitra lokesh horror, thriller"
laila aur satt geet,"navjot randhawa, sadakkit bijran, shahnawaz bhat, ranjit khajuria",drama,4.3,3.0,"navjot randhawa, sadakkit bijran, shahnawaz bhat, ranjit khajuria drama"
oye lucky! lucky oye!,"abhay deol, paresh rawal, nitu chandra, archana puran singh","action, comedy",7.04,76.0,"abhay deol, paresh rawal, nitu chandra, archana puran singh action, comedy"
bhoot: part one - the haunted ship,"vicky kaushal, ashutosh rana, meher vij, akash dhar","horror, thriller",5.6,24.0,"vicky kaushal, ashutosh rana, meher vij, akash dhar horror, thriller"
shabaash mithu,"taapsee pannu, vijay raaz, geeta agrawal sharma, sameer dharmadhikari","drama, family",6.0,11.0,"taapsee pannu, vijay raaz, geeta agrawal sharma, sameer dharmadhikari drama, family"
hulchul,"akshaye khanna, kareena kapoor, amrish puri, lakshmi","comedy, romance, action",6.586,58.0,"akshaye khanna, kareena kapoor, amrish puri, lakshmi comedy, romance, action"
saand ki aankh,"taapsee pannu, bhumi pednekar, prakash jha, vineet kumar singh",drama,7.0,23.0,"taapsee pannu, bhumi pednekar, prakash jha, vineet kumar singh drama"
vijaypath,"ajay devgn, tabu, suresh oberoi, reema lagoo","action, drama, romance",5.333,6.0,"ajay devgn, tabu, suresh oberoi, reema lagoo action, drama, romance"
